source,relation,target
NISAR(NASA-ISRO),launched_by,GSLV-F16/NISAR Mission
NISAR(NASA-ISRO),in_orbit,SSO (Sun Synchronous Orbit)
NISAR(NASA-ISRO),has_application,Earth Observation(Radar)
EOS-09,launched_by,PSLV-C61/EOS-09 Mission
EOS-09,in_orbit,SSO (Sun Synchronous Orbit)
EOS-09,has_application,Earth Observation
NVS-02(NavIC Series),launched_by,GSLV-F15/NVS-02 Mission
NVS-02(NavIC Series),in_orbit,GTO (Geosynchronous Transfer Orbit)
NVS-02(NavIC Series),has_application,Navigation
"SPADEX, POEM-4",launched_by,"PSLV-C60,SPADEX,POEM-4 Mission"
"SPADEX, POEM-4",in_orbit,LEO (Low Earth Orbit)
"SPADEX, POEM-4",has_application,In-Orbit Docking Experiment
Proba-3 (ESA),launched_by,PSLV-C59/Proba-3 Mission
Proba-3 (ESA),in_orbit,HEO (High Elliptical Orbit)
Proba-3 (ESA),has_application,Formation Flying(Technology Demonstration)
Aditya-L1,launched_by,PSLV-C57/Aditya-L1 Mission
Aditya-L1,in_orbit,Lunar
Aditya-L1,has_application,Planetary Observation
Chandrayaan-3,launched_by,LVM3 M4 / Chandrayaan-3 Mission
Chandrayaan-3,in_orbit,Lunar
Chandrayaan-3,has_application,Planetary Observation
NVS-01,launched_by,GSLV-F12/NVS-01 Mission
NVS-01,in_orbit,Unknown
NVS-01,has_application,Navigation
EOS-07,launched_by,SSLV-D2/EOS-07 Mission
EOS-07,in_orbit,Unknown
EOS-07,has_application,Earth Observation
Thybolt,launched_by,PSLV-C54/EOS-06 Mission
Thybolt,in_orbit,Unknown
Thybolt,has_application,Earth Observation
Anand,launched_by,PSLV-C54/EOS-06 Mission
Anand,in_orbit,Unknown
Anand,has_application,Earth Observation
INS-2B,launched_by,PSLV-C54/EOS-06 Mission
INS-2B,in_orbit,Unknown
INS-2B,has_application,Earth Observation
EOS-06,launched_by,PSLV-C54/EOS-06 Mission
EOS-06,in_orbit,Unknown
EOS-06,has_application,Earth Observation
EOS-02,launched_by,SSLV-D1/EOS-02 Mission
EOS-02,in_orbit,Unknown
EOS-02,has_application,Earth Observation
GSAT-24,launched_by,Ariane-V(VS257)
GSAT-24,in_orbit,GSO (Geosynchronous Orbit)
GSAT-24,has_application,Communication
INS-2TD,launched_by,PSLV-C52/EOS-04 Mission
INS-2TD,in_orbit,Unknown
INS-2TD,has_application,Experimental
EOS-04,launched_by,PSLV-C52/EOS-04 Mission
EOS-04,in_orbit,Unknown
EOS-04,has_application,Earth Observation
EOS-03,launched_by,GSLV-F10 / EOS-03 Mission
EOS-03,in_orbit,GTO (Geosynchronous Transfer Orbit)
EOS-03,has_application,Earth Observation
CMS-01,launched_by,PSLV-C50/CMS-01
CMS-01,in_orbit,GSO (Geosynchronous Orbit)
CMS-01,has_application,Communication
