entity,type
NISAR(NASA-ISRO),Satellite
EOS-09,Satellite
NVS-02(NavIC Series),Satellite
"SPADEX, POEM-4",Satellite
Proba-3 (ESA),Satellite
Aditya-L1,Satellite
Chandrayaan-3,Satellite
NVS-01,Satellite
EOS-07,Satellite
Thybolt,Satellite
Anand,Satellite
INS-2B,Satellite
EOS-06,Satellite
EOS-02,Satellite
GSAT-24,Satellite
INS-2TD,Satellite
EOS-04,Satellite
EOS-03,Satellite
CMS-01,Satellite
EOS-01,Satellite
GSAT-30,Satellite
RISAT-2BR1,Satellite
Cartosat-3,Satellite
Chandrayaan2,Satellite
RISAT-2B,Satellite
EMISAT,Satellite
GSAT-31,Satellite
Microsat-R,Satellite
GSAT-7A,Satellite
GSAT-11 Mission,Satellite
HysIS,Satellite
GSAT-29,Satellite
IRNSS-1I,Satellite
GSAT-6A,Satellite
INS-1C,Satellite
Microsat,Satellite
Cartosat-2 Series Satellite,Satellite
IRNSS-1H,Satellite
GSAT-1 7,Satellite
GSAT-19,Satellite
GSAT-9,Satellite
Cartosat -2 Series Satellite,Satellite
INS-1A,Satellite
INS-1B,Satellite
RESOURCESAT-2A,Satellite
GSAT-18,Satellite
SCATSAT-1,Satellite
INSAT-3DR,Satellite
CARTOSAT-2 Series Satellite,Satellite
IRNSS-1G,Satellite
IRNSS-1F,Satellite
IRNSS-1E,Satellite
GSAT-15,Satellite
Astrosat,Satellite
GSAT-6,Satellite
IRNSS-1D,Satellite
Crew module Atmospheric Re-entry Experiment (CARE),Satellite
GSAT-16,Satellite
IRNSS-1C,Satellite
IRNSS-1B,Satellite
GSAT-14,Satellite
Mars Orbiter Mission Spacecraft,Satellite
GSAT-7,Satellite
INSAT-3D,Satellite
IRNSS-1A,Satellite
SARAL,Satellite
GSAT-10,Satellite
RISAT-1,Satellite
Megha-Tropiques,Satellite
GSAT-12,Satellite
GSAT-8,Satellite
RESOURCESAT-2,Satellite
YOUTHSAT,Satellite
GSAT-5P,Satellite
CARTOSAT-2B,Satellite
GSAT-4,Satellite
Oceansat-2,Satellite
RISAT-2,Satellite
Chandrayaan-1,Satellite
IMS-1,Satellite
CARTOSAT  2A,Satellite
INSAT-4CR,Satellite
INSAT-4B,Satellite
CARTOSAT-2,Satellite
SRE-1,Satellite
INSAT-4C,Satellite
INSAT-4A,Satellite
CARTOSAT-1,Satellite
