0,1,2
GSAT-15,USED_FOR,"Communication, Navigation"
GSAT-15,LAUNCH_ON,2015-11-11
GSAT-15,ORBIT_TYPE,GEO
GSAT-15,LAUNCHED_BY,Ariane-5 VA-227
GSAT-15,used_for,"Communication, Navigation"
GSAT-15,launch_on,2015-11-11
GSAT-15,orbit_type,GEO
GSAT-15,launched_by,Ariane-5 VA-227
GSLV-D5/GSAT-14,ROCKET_FAMILY,GSLV
GSLV-D5/GSAT-14,rocket_family,GSLV
CMS-01,USED_FOR,Communication
CMS-01,ORBIT_TYPE,GSO (Geosynchronous Orbit)
CMS-01,LAUNCHED_BY,PSLV-C50/CMS-01
CMS-01,LAUNCH_ON,2020-12-17
CMS-01,used_for,Communication
CMS-01,orbit_type,GSO (Geosynchronous Orbit)
CMS-01,launched_by,PSLV-C50/CMS-01
CMS-01,launch_on,2020-12-17
CARTOSAT-2B,USED_FOR,Earth Observation
CARTOSAT-2B,ORBIT_TYPE,SSPO (Sun Synchronous Polar Orbit)
CARTOSAT-2B,LAUNCH_ON,2010-07-12
CARTOSAT-2B,LAUNCHED_BY,PSLV-C15/CARTOSAT-2B
CARTOSAT-2B,used_for,Earth Observation
CARTOSAT-2B,orbit_type,SSPO (Sun Synchronous Polar Orbit)
CARTOSAT-2B,launch_on,2010-07-12
CARTOSAT-2B,launched_by,PSLV-C15/CARTOSAT-2B
INSAT-3B,USED_FOR,Communication
INSAT-3B,ORBIT_TYPE,GSO (Geosynchronous Orbit)
INSAT-3B,LAUNCH_ON,2000-03-22
INSAT-3B,LAUNCHED_BY,Ariane-5G
INSAT-3B,used_for,Communication
INSAT-3B,orbit_type,GSO (Geosynchronous Orbit)
INSAT-3B,launch_on,2000-03-22
INSAT-3B,launched_by,Ariane-5G
Rohini Satellite RS-D2,USED_FOR,Earth Observation
Rohini Satellite RS-D2,ORBIT_TYPE,LEO (Low Earth Orbit)
Rohini Satellite RS-D2,LAUNCH_ON,1983-04-17
Rohini Satellite RS-D2,LAUNCHED_BY,SLV-3
Rohini Satellite RS-D2,used_for,Earth Observation
Rohini Satellite RS-D2,orbit_type,LEO (Low Earth Orbit)
Rohini Satellite RS-D2,launch_on,1983-04-17
Rohini Satellite RS-D2,launched_by,SLV-3
IRS-P2,USED_FOR,Earth Observation
IRS-P2,ORBIT_TYPE,SSPO (Sun Synchronous Polar Orbit)
IRS-P2,LAUNCH_ON,1994-10-15
IRS-P2,LAUNCHED_BY,PSLV-D2
IRS-P2,used_for,Earth Observation
IRS-P2,orbit_type,SSPO (Sun Synchronous Polar Orbit)
IRS-P2,launch_on,1994-10-15
IRS-P2,launched_by,PSLV-D2
INSAT-3E,USED_FOR,Communication
INSAT-3E,ORBIT_TYPE,GSO (Geosynchronous Orbit)
INSAT-3E,LAUNCHED_BY,Ariane5-V162
INSAT-3E,LAUNCH_ON,2003-09-28
INSAT-3E,used_for,Communication
INSAT-3E,orbit_type,GSO (Geosynchronous Orbit)
INSAT-3E,launched_by,Ariane5-V162
INSAT-3E,launch_on,2003-09-28
RISAT-1,USED_FOR,Earth Observation
RISAT-1,LAUNCH_ON,2012-04-26
RISAT-1,ORBIT_TYPE,SSPO (Sun Synchronous Polar Orbit)
RISAT-1,LAUNCHED_BY,PSLV-C19/RISAT-1
RISAT-1,used_for,Earth Observation
RISAT-1,launch_on,2012-04-26
RISAT-1,orbit_type,SSPO (Sun Synchronous Polar Orbit)
RISAT-1,launched_by,PSLV-C19/RISAT-1
GSAT-7,USED_FOR,Communication
GSAT-7,ORBIT_TYPE,GSO (Geosynchronous Orbit)
GSAT-7,LAUNCHED_BY,Ariane-5 VA-215
GSAT-7,LAUNCH_ON,2013-08-30
GSAT-7,used_for,Communication
GSAT-7,orbit_type,GSO (Geosynchronous Orbit)
GSAT-7,launched_by,Ariane-5 VA-215
GSAT-7,launch_on,2013-08-30
Ariane-5 VA-215,ROCKET_FAMILY,Ariane
Ariane-5 VA-215,rocket_family,Ariane
GSAT-19,USED_FOR,Communication
GSAT-19,ORBIT_TYPE,GSO (Geosynchronous Orbit)
GSAT-19,LAUNCHED_BY,GSLV Mk III-D1/GSAT-19 Mission
GSAT-19,LAUNCH_ON,2017-06-05
GSAT-19,used_for,Communication
GSAT-19,orbit_type,GSO (Geosynchronous Orbit)
GSAT-19,launched_by,GSLV Mk III-D1/GSAT-19 Mission
GSAT-19,launch_on,2017-06-05
GSLV Mk III-D1/GSAT-19 Mission,ROCKET_FAMILY,GSLV Mk III
GSLV Mk III-D1/GSAT-19 Mission,rocket_family,GSLV Mk III
INSAT-3C,ORBIT_TYPE,GSO (Geosynchronous Orbit)
INSAT-3C,LAUNCHED_BY,Ariane5-V147
INSAT-3C,USED_FOR,"Climate & Environment, Communication"
INSAT-3C,LAUNCH_ON,2002-01-24
INSAT-3C,orbit_type,GSO (Geosynchronous Orbit)
INSAT-3C,launched_by,Ariane5-V147
INSAT-3C,used_for,"Climate & Environment, Communication"
INSAT-3C,launch_on,2002-01-24
Ariane5-V147,ROCKET_FAMILY,Ariane5
Ariane5-V147,rocket_family,Ariane5
GSAT-16,USED_FOR,Communication
GSAT-16,ORBIT_TYPE,GSO (Geosynchronous Orbit)
GSAT-16,LAUNCH_ON,2014-12-07
GSAT-16,LAUNCHED_BY,Ariane-5 VA-221
GSAT-16,used_for,Communication
GSAT-16,orbit_type,GSO (Geosynchronous Orbit)
GSAT-16,launch_on,2014-12-07
GSAT-16,launched_by,Ariane-5 VA-221
EOS-03,USED_FOR,Earth Observation
EOS-03,ORBIT_TYPE,GTO (Geosynchronous Transfer Orbit)
EOS-03,LAUNCH_ON,2021-08-12
EOS-03,LAUNCHED_BY,GSLV-F10 / EOS-03 Mission
EOS-03,used_for,Earth Observation
EOS-03,orbit_type,GTO (Geosynchronous Transfer Orbit)
EOS-03,launch_on,2021-08-12
EOS-03,launched_by,GSLV-F10 / EOS-03 Mission
RISAT-2,USED_FOR,Earth Observation
RISAT-2,LAUNCH_ON,2009-04-20
RISAT-2,ORBIT_TYPE,SSPO (Sun Synchronous Polar Orbit)
RISAT-2,LAUNCHED_BY,PSLV-C12 / RISAT-2
RISAT-2,used_for,Earth Observation
RISAT-2,launch_on,2009-04-20
RISAT-2,orbit_type,SSPO (Sun Synchronous Polar Orbit)
RISAT-2,launched_by,PSLV-C12 / RISAT-2
RESOURCESAT-2,USED_FOR,Earth Observation
RESOURCESAT-2,LAUNCH_ON,2011-04-20
RESOURCESAT-2,ORBIT_TYPE,SSPO (Sun Synchronous Polar Orbit)
RESOURCESAT-2,LAUNCHED_BY,PSLV-C16/RESOURCESAT-2
RESOURCESAT-2,used_for,Earth Observation
